scenarios,1
seeds per scenario,20
notes,wifin_alg_simple. 2-100-6
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_10:32:47.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_10:32:47.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,2
155,80,800,6,20
channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,2
155,80,800,6,20
97,19.7058,6.60734,8237,8181,1.68102
92,6.82402,7.20681,7812,7718,1.73982
47,2.57566,4.1689,3,3,21.4474
41,1.68068,2.93441,3,3,42.4708
38,16.708,5.11087,3,3,39.4343
30,2.85695,9.02856,2,2,62.7771
39,8.94646,6.47048,3,3,48.0598
49,7.81375,3.29978,4,4,17.4497
43,7.19636,6.03087,3,3,37.4264
43,8.12122,4.5676,3,3,32.6712
35,7.77911,6.4921,2,2,58.8669
32,7.68104,3.05435,2,2,66.1885
47,18.9235,6.23924,3,3,31.8044
43,5.75861,3.28492,3,3,39.0074
47,17.8125,3.11645,3,3,30.0616
39,12.3559,1.72151,3,3,40.8682
44,13.4044,6.63499,3,3,32.0073
42,2.33199,7.84704,3,3,41.1336
43,14.9798,9.81128,3,3,33.1017
50,16.0783,8.14825,4,4,13.0317
46,10.3269,6.09847,3,3,23.7854
42,18.6914,0.664084,3,3,46.4452
49,17.0426,1.77422,4,4,16.716
42,5.00221,2.0515,3,3,44.0517
33,17.3377,3.92676,2,2,55.1054
49,16.6755,1.78956,4,4,18.7367
30,0.198256,7.06927,2,2,68.3433
42,3.35502,6.88841,3,3,37.0395
31,2.50437,6.64761,2,2,79.0973
39,1.19319,3.32234,3,3,41.2747
32,1.81331,7.81129,2,2,63.6841
48,2.01261,2.38093,4,4,17.9603
36,2.43821,5.27299,3,3,43.0754
47,13.7617,5.22926,3,3,23.655
42,1.89628,8.65967,3,3,39.7586
47,18.6602,4.86988,3,0,-nan
44,8.98245,8.7793,3,3,31.7712
46,1.7097,0.504838,3,3,34.0504
50,4.03646,8.02916,4,4,4.36311
44,18.9621,7.00127,3,3,33.3797
39,17.31,8.03726,3,3,44.562
31,14.2227,8.22798,2,2,71.2273
35,7.6515,7.12884,2,2,60.0132
49,16.3872,0.438982,4,4,13.4127
41,3.7027,0.0969336,3,3,35.404
50,1.90557,6.48025,4,4,6.99986
45,18.329,4.51612,3,3,32.6285
41,12.4472,0.151219,3,3,42.3687
36,1.14264,1.47442,3,3,43.0144
50,4.31088,9.52766,4,4,15.8979
36,12.4784,0.569984,3,3,43.0859
47,2.64638,9.33036,3,3,26.5721
42,2.41468,1.69341,3,3,39.6295
32,11.2483,0.634101,2,2,61.0265
37,8.7902,1.60658,3,3,39.8349
47,14.7974,5.77067,3,3,28.33
36,7.69083,3.19819,3,3,43.7832
47,13.5371,6.11227,3,3,33.7795
42,13.4711,3.13588,3,3,35.0295
30,5.49494,1.77428,2,2,70.0477
46,15.1374,4.66188,3,3,27.7655
44,15.5376,7.78593,3,3,31.9767
50,6.40405,2.65847,4,4,12.5337
42,14.1106,2.90097,3,3,40.3321
39,13.1245,4.63856,3,3,42.6577
50,6.82763,2.04188,4,4,15.8467
42,12.7278,9.64904,3,3,45.8335
48,14.6349,9.82146,4,4,25.2326
47,10.8456,5.003,3,3,23.8806
42,8.99602,0.956404,3,3,48.9265
50,2.3639,8.72878,4,4,10.226
32,5.16643,0.323704,2,2,53.3853
44,14.2986,4.55723,3,3,33.0715
30,13.9072,1.18799,2,2,65.0375
31,9.97266,4.9075,2,2,59.4438
34,16.5935,9.22691,2,2,54.871
36,19.1169,0.773594,3,3,38.6902
33,2.46748,7.10519,2,2,56.7193
45,6.14728,5.13171,3,3,32.1087
39,5.73972,5.87867,3,3,42.4435
35,9.37353,2.12715,2,2,57.0727
37,4.39095,4.77037,3,3,39.8191
33,9.15407,3.13193,2,2,55.0877
48,8.51746,4.1278,4,4,13.5186
32,13.2332,9.59664,2,2,52.1474
33,16.4911,4.79217,2,2,53.5306
30,1.15548,1.32285,2,2,67.1991
36,15.7316,4.97719,3,3,44.2595
41,9.44277,3.05164,3,3,40.2876
33,7.25058,5.20961,2,2,54.059
38,16.9589,6.2699,3,3,41.4652
44,14.3656,5.92948,3,3,34.0448
36,4.94599,4.16314,3,3,38.4509
31,4.66198,7.69816,2,2,64.3936
50,4.25478,8.94061,4,4,15.3679
48,15.3534,5.07671,4,4,20.8924
50,11.1848,9.15968,4,4,18.9435
46,10.5688,9.44877,3,3,33.4713
31,10.3783,2.95506,2,2,60.5753
40,15.3986,6.48535,3,3,40.5974
33,17.6775,4.27616,2,2,54.0908
43,4.62925,6.0432,3,3,36.3189
39,5.58221,2.43517,3311,3239,3.44008
34,13.6894,6.12185,2887,2819,65.9164
37,18.5423,7.29093,3141,3120,9.19966
21,17.8256,1.77806,1783,1726,10.9962
21,1.38654,7.48977,1783,1746,7.76214
28,14.696,8.31155,2377,2301,8.37876
channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,3
155,80,800,6,20
97,19.7058,6.60734,16474,16385,1.66374
92,6.82402,7.20681,15624,15461,1.75118
47,2.57566,4.1689,7,6,16.0366
41,1.68068,2.93441,6,6,25.5501
38,16.708,5.11087,6,6,21.1546
30,2.85695,9.02856,5,5,28.9116
39,8.94646,6.47048,6,6,27.0833
49,7.81375,3.29978,8,8,12.5938
43,7.19636,6.03087,7,7,19.2081
43,8.12122,4.5676,7,7,15.4414
35,7.77911,6.4921,5,4,32.8508
32,7.68104,3.05435,5,5,29.7476
47,18.9235,6.23924,7,6,21.7676
43,5.75861,3.28492,7,6,21.5789
47,17.8125,3.11645,7,6,18.3384
39,12.3559,1.72151,6,6,23.8061
44,13.4044,6.63499,7,6,20.3138
42,2.33199,7.84704,7,7,24.5581
43,14.9798,9.81128,7,7,17.007
50,16.0783,8.14825,8,8,11.0722
46,10.3269,6.09847,7,6,13.1289
42,18.6914,0.664084,7,7,26.1528
49,17.0426,1.77422,8,8,11.5761
42,5.00221,2.0515,7,7,25.4169
33,17.3377,3.92676,5,4,31.6449
49,16.6755,1.78956,8,8,14.4909
30,0.198256,7.06927,5,5,33.3555
42,3.35502,6.88841,7,7,19.8802
31,2.50437,6.64761,5,5,35.7742
39,1.19319,3.32234,6,6,23.7412
32,1.81331,7.81129,5,4,35.9281
48,2.01261,2.38093,8,8,12.9748
36,2.43821,5.27299,6,6,25.7552
47,13.7617,5.22926,7,6,14.477
42,1.89628,8.65967,7,7,19.8838
47,18.6602,4.86988,7,0,-nan
44,8.98245,8.7793,7,7,15.3649
46,1.7097,0.504838,7,6,19.3413
50,4.03646,8.02916,8,8,6.74265
44,18.9621,7.00127,7,6,18.3711
39,17.31,8.03726,6,6,24.4481
31,14.2227,8.22798,5,5,31.5719
35,7.6515,7.12884,5,4,35.0752
49,16.3872,0.438982,8,8,9.65895
41,3.7027,0.0969336,6,6,19.6127
50,1.90557,6.48025,8,8,6.73365
45,18.329,4.51612,7,6,18.4285
41,12.4472,0.151219,6,6,24.2785
36,1.14264,1.47442,6,6,28.4973
50,4.31088,9.52766,8,8,11.3033
36,12.4784,0.569984,6,6,27.7056
47,2.64638,9.33036,7,6,16.8662
42,2.41468,1.69341,7,7,22.8777
32,11.2483,0.634101,5,5,27.5382
37,8.7902,1.60658,6,6,21.1717
47,14.7974,5.77067,7,6,17.3654
36,7.69083,3.19819,6,6,24.0984
47,13.5371,6.11227,7,6,19.477
42,13.4711,3.13588,7,7,23.4601
30,5.49494,1.77428,5,5,35.2791
46,15.1374,4.66188,7,6,17.3507
44,15.5376,7.78593,7,6,19.6142
50,6.40405,2.65847,8,8,9.46857
42,14.1106,2.90097,7,7,26.1883
39,13.1245,4.63856,6,6,24.059
50,6.82763,2.04188,8,8,12.1402
42,12.7278,9.64904,7,7,23.7892
48,14.6349,9.82146,8,8,15.078
47,10.8456,5.003,7,6,14.822
42,8.99602,0.956404,7,7,25.1258
50,2.3639,8.72878,8,8,7.23593
32,5.16643,0.323704,5,4,30.5188
44,14.2986,4.55723,7,6,19.449
30,13.9072,1.18799,5,5,34.9868
31,9.97266,4.9075,5,5,25.7618
34,16.5935,9.22691,5,4,28.0485
36,19.1169,0.773594,6,6,26.5639
33,2.46748,7.10519,5,4,30.5836
45,6.14728,5.13171,7,6,17.4664
39,5.73972,5.87867,6,6,24.9314
35,9.37353,2.12715,5,4,32.1289
37,4.39095,4.77037,6,6,22.3572
33,9.15407,3.13193,5,5,24.3823
48,8.51746,4.1278,8,8,10.4211
32,13.2332,9.59664,5,5,25.1381
33,16.4911,4.79217,5,5,25.8118
30,1.15548,1.32285,5,5,36.4486
36,15.7316,4.97719,6,6,28.5583
41,9.44277,3.05164,6,6,22.3063
33,7.25058,5.20961,5,5,25.8728
38,16.9589,6.2699,6,6,21.9329
44,14.3656,5.92948,7,6,19.2391
36,4.94599,4.16314,6,6,23.3815
31,4.66198,7.69816,5,5,28.1568
50,4.25478,8.94061,8,8,11.7518
48,15.3534,5.07671,8,8,14.0622
50,11.1848,9.15968,8,8,15.7501
46,10.5688,9.44877,7,6,19.3027
31,10.3783,2.95506,5,5,28.0178
40,15.3986,6.48535,6,6,25.353
33,17.6775,4.27616,5,5,25.4029
43,4.62925,6.0432,7,7,17.8334
39,5.58221,2.43517,6623,6490,4.07028
34,13.6894,6.12185,5774,5701,35.8929
37,18.5423,7.29093,6283,6205,8.47162
21,17.8256,1.77806,3566,3475,9.89809
21,1.38654,7.48977,3566,3489,13.0813
28,14.696,8.31155,4755,4627,9.48104
channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,3
155,80,800,6,20
97,19.7058,6.60734,24711,24597,1.67886
92,6.82402,7.20681,23437,23151,2.03892
47,2.57566,4.1689,11,9,13.4323
41,1.68068,2.93441,10,9,19.696
38,16.708,5.11087,9,9,14.9944
30,2.85695,9.02856,7,7,24.6915
39,8.94646,6.47048,9,9,20.6096
49,7.81375,3.29978,12,12,9.72418
43,7.19636,6.03087,10,10,14.8797
43,8.12122,4.5676,10,10,11.7579
35,7.77911,6.4921,8,6,26.2171
32,7.68104,3.05435,8,8,21.3375
47,18.9235,6.23924,11,9,17.8786
43,5.75861,3.28492,10,9,16.0597
47,17.8125,3.11645,11,9,14.9209
