scenarios,1
seeds per scenario,20
notes,wifin_naive. 2-100-6
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
42,80,100,20,155,80
97,19.7058,6.60734,123556,123513,2.5537
92,6.82402,7.20681,117187,117097,2.51634
47,2.57566,4.1689,59,59,4.17032
41,1.68068,2.93441,52,52,2.96756
38,16.708,5.11087,48,48,3.35127
30,2.85695,9.02856,38,38,5.22031
39,8.94646,6.47048,49,49,4.07344
49,7.81375,3.29978,62,62,3.3074
43,7.19636,6.03087,54,54,3.60218
43,8.12122,4.5676,54,54,3.47948
35,7.77911,6.4921,44,44,4.39564
32,7.68104,3.05435,40,40,4.37476
47,18.9235,6.23924,59,59,3.72388
43,5.75861,3.28492,54,54,3.2469
47,17.8125,3.11645,59,59,4.1597
39,12.3559,1.72151,49,49,4.1898
44,13.4044,6.63499,56,56,4.75056
42,2.33199,7.84704,53,53,5.83666
43,14.9798,9.81128,54,54,3.68541
50,16.0783,8.14825,63,63,4.17153
46,10.3269,6.09847,58,58,2.51703
42,18.6914,0.664084,53,53,5.06419
49,17.0426,1.77422,62,62,2.70898
42,5.00221,2.0515,53,53,5.88278
33,17.3377,3.92676,42,42,3.75058
49,16.6755,1.78956,62,62,2.93982
30,0.198256,7.06927,38,38,6.69482
42,3.35502,6.88841,53,53,5.91676
31,2.50437,6.64761,39,39,2.98567
39,1.19319,3.32234,49,49,4.77392
32,1.81331,7.81129,40,40,4.61823
48,2.01261,2.38093,61,61,3.97028
36,2.43821,5.27299,45,45,5.05858
47,13.7617,5.22926,59,59,3.55772
42,1.89628,8.65967,53,53,5.80405
47,18.6602,4.86988,59,59,3.96943
44,8.98245,8.7793,56,56,4.33002
46,1.7097,0.504838,58,58,2.6018
50,4.03646,8.02916,63,63,4.37
44,18.9621,7.00127,56,56,5.48272
39,17.31,8.03726,49,49,4.29126
31,14.2227,8.22798,39,39,3.92865
35,7.6515,7.12884,44,44,3.88882
49,16.3872,0.438982,62,62,2.29431
41,3.7027,0.0969336,52,52,3.5069
50,1.90557,6.48025,63,63,3.42794
45,18.329,4.51612,57,57,3.82219
41,12.4472,0.151219,52,52,3.06909
36,1.14264,1.47442,45,45,6.48432
50,4.31088,9.52766,63,63,4.04017
36,12.4784,0.569984,45,45,5.68672
47,2.64638,9.33036,59,59,4.54577
42,2.41468,1.69341,53,53,5.76225
32,11.2483,0.634101,40,40,5.13253
37,8.7902,1.60658,47,47,2.50774
47,14.7974,5.77067,59,59,4.22853
36,7.69083,3.19819,45,45,4.56258
47,13.5371,6.11227,59,59,4.67541
42,13.4711,3.13588,53,53,5.31131
30,5.49494,1.77428,38,38,7.08313
46,15.1374,4.66188,58,58,3.23582
44,15.5376,7.78593,56,56,4.61602
50,6.40405,2.65847,63,63,4.16757
42,14.1106,2.90097,53,53,6.61106
39,13.1245,4.63856,49,49,4.25273
50,6.82763,2.04188,63,63,3.38765
