scenarios,1
seeds per scenario,20
notes,wifin_alg. 4-100-4
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,7,20
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,7,20
97,19.7058,6.60734,8237,8092,4.41154
92,6.82402,7.20681,7812,7621,4.49758
90,2.57566,4.1689,7642,7612,4.10902
88,1.68068,2.93441,7472,7362,5.48698
47,16.708,5.11087,3,3,21.997
41,2.85695,9.02856,3,3,38.5984
38,8.94646,6.47048,3,3,39.7148
30,7.81375,3.29978,2,2,66.2923
39,7.19636,6.03087,3,3,41.0855
49,8.12122,4.5676,4,4,18.8409
43,7.77911,6.4921,3,3,35.7441
43,7.68104,3.05435,3,3,39.6588
35,18.9235,6.23924,2,2,60.838
32,5.75861,3.28492,2,2,60.5297
47,17.8125,3.11645,3,3,40.5591
43,12.3559,1.72151,3,3,31.694
47,13.4044,6.63499,3,3,27.8724
39,2.33199,7.84704,3,3,43.204
44,14.9798,9.81128,3,3,38.4821
42,16.0783,8.14825,3,3,41.259
43,10.3269,6.09847,3,3,30.0559
50,18.6914,0.664084,4,4,10.6945
46,17.0426,1.77422,3,3,28.7636
42,5.00221,2.0515,3,3,44.8453
49,17.3377,3.92676,4,4,19.9593
42,16.6755,1.78956,3,3,45.0186
33,0.198256,7.06927,2,2,54.7724
49,3.35502,6.88841,4,4,15.128
30,2.50437,6.64761,2,2,71.1498
42,1.19319,3.32234,3,3,42.0651
31,1.81331,7.81129,2,2,63.1602
39,2.01261,2.38093,3,3,41.2676
32,2.43821,5.27299,2,2,58.8789
48,13.7617,5.22926,4,4,16.834
36,1.89628,8.65967,3,3,42.743
47,18.6602,4.86988,3,3,29.3716
42,8.98245,8.7793,3,3,35.8922
47,1.7097,0.504838,3,3,28.7121
44,4.03646,8.02916,3,3,34.1571
46,18.9621,7.00127,3,3,33.5021
50,17.31,8.03726,4,4,14.4695
44,14.2227,8.22798,3,3,31.2424
39,7.6515,7.12884,3,3,41.2907
31,16.3872,0.438982,2,2,59.3139
35,3.7027,0.0969336,2,2,57.4121
49,1.90557,6.48025,4,4,18.8388
41,18.329,4.51612,3,3,40.534
50,12.4472,0.151219,4,4,15.858
45,1.14264,1.47442,3,3,29.9544
41,4.31088,9.52766,3,3,43.14
36,12.4784,0.569984,3,3,43.6395
50,2.64638,9.33036,4,4,11.0975
36,2.41468,1.69341,3,3,43.601
47,11.2483,0.634101,3,3,29.6776
42,8.7902,1.60658,3,3,39.3936
32,14.7974,5.77067,2,2,55.5469
37,7.69083,3.19819,3,3,38.5802
47,13.5371,6.11227,3,3,37.2262
36,13.4711,3.13588,3,3,40.2167
47,5.49494,1.77428,3,3,28.7537
42,15.1374,4.66188,3,0,-nan
