scenarios,1
seeds per scenario,20
notes,wifin_naive_mob. 6-100-2
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,159,40
97,19.7058,6.60734,123556,98889,1325.95
92,6.82402,7.20681,117187,94375,1354.08
90,2.57566,4.1689,114640,46777,1476.77
88,1.68068,2.93441,112092,85595,1278.66
87,16.708,5.11087,110818,100961,1153.34
96,2.85695,9.02856,122283,102816,1242.24
47,8.94646,6.47048,59,59,3.40638
41,7.81375,3.29978,52,52,1.96007
38,7.19636,6.03087,48,48,3.00269
30,8.12122,4.5676,38,38,5.28024
39,7.77911,6.4921,49,49,4.0132
49,7.68104,3.05435,62,62,2.28843
43,18.9235,6.23924,54,54,3.88309
43,5.75861,3.28492,54,54,2.96144
35,17.8125,3.11645,44,44,3.75143
32,12.3559,1.72151,40,40,3.93783
47,13.4044,6.63499,59,59,3.8796
43,2.33199,7.84704,54,54,3.83558
47,14.9798,9.81128,59,59,3.55034
39,16.0783,8.14825,49,49,4.56355
44,10.3269,6.09847,56,56,4.44907
42,18.6914,0.664084,53,53,5.7758
43,17.0426,1.77422,54,54,3.29094
50,5.00221,2.0515,63,63,4.33958
46,17.3377,3.92676,58,58,2.40065
42,16.6755,1.78956,53,53,5.25712
49,0.198256,7.06927,62,62,3.08583
42,3.35502,6.88841,53,53,6.23402
